Line 87: type='character', name='Wolfdog', _id='Qbxc6ZZWJqEjJ0wd' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 88: type='character', name='Hobbe Hound', _id='QyxfAqvDZyMeLER9' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 89: type='character', name='Baluchitherium', _id='R410WuiWcnxbqEGQ' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 90: type='character', name='Cameroceras', _id='RbcTQsGSqeTxQDTm' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 91: type='character', name='Dire Polar Bear', _id='SEy7YIN6ZDBIPfGt' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 92: type='character', name='Tyrannosaurus', _id='TINRItIJpQteBvWH' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 93: type='character', name='Brachiosaurus', _id='TIpkHepscgu9gvgV' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 94: type='character', name='Warcat of Rull', _id='TNMDxKWHItC9Qx90' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 95: type='character', name='Octopus', _id='TWSLrJMZ0zECT4Zc' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 96: type='character', name='Grizzly Bear', _id='Tlj7Lrd0R5ZpQfre' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 97: type='character', name='Llama', _id='TvmWFfRnfjb9PMv7' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 98: type='character', name='Dimorphodon', _id='UEk45MdPdqnp514r' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 99: type='character', name='Pilo', _id='UEsdui4Y2hb0oALq' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 100: type='character', name='Gulper Plant', _id='V76jeMzJf3YlJSww' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 101: type='character', name='Sniper Cactus', _id='VXdeJTyaJknQLalZ' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 102: type='character', name='Giant Wasp', _id='Vcv76BEfI7eqMS56' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 103: type='character', name='Camel', _id='VphZbZQe7hks2x1J' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
